ID de la compétence parente;ID;Nom abrégé;Description;Format de description;Valeurs du barème;configuration du barème;Type de règle de compétence (optionnelle);Règle d'objectif (optionnelle);Règle de paramétrage (optionnelle);IDs des compétences croisées associées;ID d'exportation (optionnel);Est un référentiel;Taxonomie
;dcg-2019;DCG réforme 2019;;1;Not yet competent,Competent;"[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]";;;;;;1;domain,domain,domain,domain,domain,competency
;1.0.0.0.0.0;AXE 1 : DROIT DES AFFAIRES ;;;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.1;"Rechercher et analyser une documentation juridique fiable et actualisée ; ";;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.2;"Analyser une décision de justice et en dégager la portée ; ";;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.3;"Qualifier et analyser un contrat ou un document professionnel ; ";;1;;;;;;;;;
1.0.0.0.0.0;1.0.0.0.0.4;Qualifier les faits, articuler un raisonnement juridique et proposer une solution adaptée, dans le cadre d’une situation juridique donnée. ;;1;;;;;;;;;
1.0.0.0.0.0;1.1.0.0.0.0;UE 1 - FONDAMENTAUX DU DROIT  ;;1;;;;;;;;;
1.1.0.0.0.0;1.1.1.0.0.0;1- Introduction générale au droit (45 heures) ;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.1.0.0;1.1 Introduction ;<h5>Sens et portée de l’étude</h5><p>La règle de droit est une construction sociale qui évolue en fonction des besoins de la société : à travers elle s’expriment certaines valeurs fondamentales. La règle de droit a pour objet de rendre possible la vie en société. Pour ce faire, elle est aussi un instrument de contrainte. </p><p>La prise en compte des finalités du droit permet de comprendre le sens de la règle, de l’interpréter et éventuellement d’en prévoir l’évolution. </p><p>Le droit distingue, classe et ordonne des situations données. En France, il repose sur une summa divisio qui distingue droit public et droit privé. Le droit se différencie d’autres règles sociales telles que la morale et l’éthique. </p><p><h5>Savoirs associés</h5></p><p>* les finalités du droit. </p><p>* les caractères de la règle de droit.  </p><p>* les autres règles sociales : morale et éthique. </p><p>* les branches du droit. </p>;1;;;;;;;;;
1.1.1.1.0.0;1.1.1.1.0.1;"Distinguer la règle de droit des autres règles de la vie sociale ; ";;1;;;;;;;;;
1.1.1.1.0.0;1.1.1.1.0.2;Identifier les branches du droit applicables à une situation donnée. ;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.2.0.0;1.2 Les sources du droit <h5>Sens et portée de l’étude</h5>;"Les sources du droit sont nombreuses. Cette multiplication s’explique par le fait qu’une société développée produit des normes internes à différents niveaux, et s’intègre dans un espace mondialisé qui la soumet à de nouvelles règles définies par des acteurs internationaux. Dès lors, une hiérarchie s’établit entre l’ensemble de ces normes et des voies de recours s’ouvrent aux titulaires de droits en cas de violation de cette hiérarchie. <p>À noter que certains textes de droit international non contraignants (soft law) peuvent influer le comportement de sujets de droit, notamment les entreprises. </p><p><h5>Savoirs associés</h5></p><p>* les sources internationales du droit ; </p><p>* les différentes sources de droit européen : droit primaire et dérivé du droit de l’union européenne (directives et règlements) ; </p><p>* les sources nationales du droit ; </p><p>* le principe de hiérarchie des normes ; </p><p>* le rôle des pouvoirs législatif et exécutif dans l’initiative d’une loi ordinaire ; </p><p>* les prérogatives du pouvoir exécutif dans le processus du vote de la loi ; </p><p>* le contrôle de conventionalité et de constitutionnalité de la loi. </p>";1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.1;"Identifier et distinguer les différentes sources du droit ; ";;1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.2;"Repérer un conflit de normes et expliciter sa résolution dans une situation donné ; ";;1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.3;"Différencier les principales catégories de loi ;  - schématiser les étapes du processus de l’élaboration d’une loi ordinaire ; ";;1;;;;;;;;;
1.1.1.2.0.0;1.1.1.2.0.4;Identifier les contrôles de constitutionnalité d’une loi. ;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.3.0.0;1.3 La preuve des droits <h5>Sens et portée de l’étude</h5>;"Être titulaire de droits suppose d’en établir l’existence devant un juge. En amont du procès, la preuve a un rôle de prévention (la partie qui sait que le juge lui donnera tort, s’abstiendra de recourir aux tribunaux) et lors du procès, elle permettra de trancher le litige en dégageant une vérité judiciaire. <p>Le droit français consacre le système de la preuve par tout moyen sauf si la loi en dispose autrement : ainsi, dans certains cas, la preuve préconstituée est exigée. Par ailleurs, le progrès technique impose au législateur et au juge d’apprécier la fiabilité de nouveaux procédés de preuve. </p><p><h5>Savoirs associés</h5></p><p>* l’objet, la charge et les modes de preuve ; </p><p>* la recevabilité des moyens de preuve et leur force probante. </p>";1;;;;;;;;;
1.1.1.3.0.0;1.1.1.3.0.1;"Établir sur qui pèse la charge de la preuve ; ";;1;;;;;;;;;
1.1.1.3.0.0;1.1.1.3.0.2;"Identifier les moyens de preuve ; ";;1;;;;;;;;;
1.1.1.3.0.0;1.1.1.3.0.3;Apprécier la recevabilité et la force probante des moyens de preuve. ;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.4.0.0;1.4 L’organisation judiciaire <h5>Sens et portée de l’étude</h5>;"Pour faire reconnaître ses droits ou faire cesser un trouble, le citoyen s’adresse aux juridictions. Celles-ci, très nombreuses, répondent à une organisation et un fonctionnement précis qui vont définir leur compétence. En leur sein, il existe différents professionnels qui concourent à la résolution des litiges. Enfin, les procédures doivent garantir le respect de principes directeurs du procès issus du droit national et du droit européen. <p><h5>Savoirs associés</h5></p><p>* les ordres administratif et judiciaire ; </p><p>* les principales juridictions nationales et européennes. </p><p>* les degrés de juridictions ; </p><p>* la compétence matérielle et territoriale d’une juridiction ; </p><p>* les conditions de recevabilité de l’action en justice ; - les notions de prescription et de forclusion ; </p><p>* les voies de recours possibles en fonction d’une décision de justice ; </p><p>* les principes directeurs du droit commun du procès français et européen ; - le personnel de justice. </p>";1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.1;"Distinguer les différentes juridictions nationales et européennes et déterminer leurs compétences ; - déterminer la juridiction compétente dans un litige donné ; ";;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.2;"Vérifier les conditions de recevabilité de l’action en justice ; ";;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.3;"Déterminer les voies de recours possibles dans une situation donnée ; ";;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.4;"Vérifier le respect des principes directeurs du procès énoncés dans le code de procédure civile et dans la convention européenne des droits de l’homme ; ";;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.5;Identifier les rôles respectifs des magistrats du siège et du ministère public. ;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.5.0.0;1.5 Les modes alternatifs de règlement des différends ;"<h5>Sens et portée de l’étude</h5><p>L’inflation du contentieux et l’exigence de rendre une décision de justice dans un délai raisonnable ont conduit le législateur à imposer aux parties, avant toute procédure, de montrer qu’elles ont tenté de trouver une voie de conciliation. Dans ce cadre, il existe différents modes alternatifs de résolution des différends (Mard) possibles et adaptés à des situations juridiques données. L’ensemble de ces Mard ont pour objectif de désengorger les tribunaux et d’offrir des voies rapides et souvent moins coûteuses qu’une procédure judiciaire longue et parfois aléatoire pour les parties. </p><p><h5>Savoirs associés</h5></p><p>* la conciliation et la médiation : définition, acteurs, mise en œuvre et issue ; - l’arbitrage comme mode spécifique de résolution des conflits : modalités de mise en œuvre, désignation et récusation des arbitres, modalités de la sentence arbitrale et des voies de recours, avantages et inconvénients. </p>";1;;;;;;;;;
1.1.1.5.0.0;1.1.1.5.0.1;"Justifier l’exigence du recours aux Mard avant toute procédure contentieuse ; ";;1;;;;;;;;;
1.1.1.5.0.0;1.1.1.5.0.2;"Distinguer les effets de chacun des Mard ; - montrer la spécificité de l’arbitrage comme mode de résolution des conflits. ";;1;;;;;;;;;
1.1.0.0.0.0;1.1.2.0.0.0;2- Les personnes et les biens (40 heures) ;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.1.0.0;2.1 Les personnes <h5>Sens et portée de l’étude</h5>;"La personnalité juridique est l’aptitude à être sujet de droit. Celle-ci est conférée de plein droit aux personnes physiques et, sous certaines conditions, aux personnes morales. Ces dernières sont devenues des acteurs importants et incontournables de l’activité économique. Pour autant, l’étendue de leur capacité reste circonscrite à leur objet. <p>Pour les personnes physiques, le législateur a élaboré un système d’incapacité pour protéger les mineurs et certains majeurs victimes d’une altération de leurs facultés mentales ou corporelles. </p><p><h5>Savoirs associés</h5></p><p>* la notion de personne juridique : utilité, acquisition, diversité ; </p><p>* les personnes physiques : identification, capacité ; </p><p>* les personnes morales : identification, capacité ; </p><p>* la distinction entre les actes que le mineur peut réaliser seul et les actes qui nécessitent l’autorisation de son représentant légal ou de son tuteur ; </p><p>* les trois principaux régimes de protection des majeurs : définition, mise sous placement, désignation d’un responsable du majeur, distinction entre acte d’administration et de disposition et conséquence quant à la capacité du majeur protégé. </p>";1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.1;"Justifier l’existence d’une personne juridique ; ";;1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.2;"Identifier et caractériser les attributs de la personnalité juridique ; ";;1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.3;"Analyser la capacité d’une personne à accomplir un acte juridique ; ";;1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.4;Identifier un régime de protection adapté à la situation d’un majeur dans une situation donnée. ;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.2.0.0;2.2 Les commerçants, personnes physiques ;"<h5>Sens et portée de l’étude</h5><p>Les premiers acteurs de la vie des affaires sont les commerçants en tant que personnes physiques. Ils dirigent des entreprises individuelles qu'ils exploitent en nom propre ce qui impacte leur patrimoine personnel. Ces personnes physiques acquièrent la qualité de commerçant dès lors qu’elles accomplissent des actes de commerce à titre de profession habituelle. Dans le cadre de ses affaires, le commerçant a des obligations et a besoin de règles adaptées à son activité. </p><p><h5>Savoirs associés</h5></p><p>* le principe de la liberté du commerce et ses limites ; </p><p>* la définition du commerçant ; </p><p>* les actes de commerce : régime juridique et différentes catégories ; </p><p>* les obligations et responsabilités du commerçant ; </p><p>* présentation de l’entrepreneur individuel à responsabilité limitée (EIRL), modalité de l’entreprise individuelle permettant une atténuation de la responsabilité du commerçant : création de l’EIRL insaisissabilité (notion et principales applications). </p><p>* le régime du Pacs, les régimes matrimoniaux (la communauté des biens et la séparation des biens). </p><p>* les caractéristiques des statuts du conjoint du commerçant. </p>";1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.1;"Identifier le commerçant ; ";;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.2;"Vérifier qu’une personne remplit les conditions pour exercer le commerce, dans une situation donnée ; ";;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.3;"Distinguer les différents actes de commerce et présenter leur régime juridique ; ";;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.4;"Analyser le statut et la situation patrimoniale du commerçant ; ";;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.5;Sélectionner un statut pour le conjoint en fonction d’une situation donnée et en mesurer les conséquences juridiques. ;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.3.0.0;2.3 Les autres professionnels de la vie des affaires ;<h5>Sens et portée de l’étude</h5><p>La vie des affaires n’est pas exclusivement le fait du commerce, d’autres entrepreneurs individuels développent des activités économiques. Certains d’entre eux sont des partenaires privilégiés du commerçant. Il convient de distinguer chacun de ces acteurs économiques. </p><p><h5>Savoirs associés</h5></p><p>* les caractéristiques principales de l’artisan, de l’agriculteur, du professionnel libéral. </p>;1;;;;;;;;;
1.1.2.3.0.0;1.1.2.3.0.1;Identifier et analyser les principes juridiques applicables aux catégories professionnelles suivantes : artisan, agriculteur, professionnel libéral. ;;1;;;;;;;;;
